mag_diff_1,mag_diff_2,mag_diff_3,diff_1,diff_2,diff_3,Var3_1,Var3_2,Var3_3,Var4
0.042319,0.048331,0,0,0.15625,4.2969,0.059374,0.065386,0.017055,4
0.054835,0.045834,0,0,5.7813,8.5156,0.063395,0.054393,0.0085595,1
0.043239,0.025769,0,0,5.5469,4.8438,0.052995,0.035525,0.0097562,3
0.086787,0.062928,0,0,10.078,4.0625,0.10004,0.076181,0.013253,5
0.0097924,0.1132,0,2.5,0,3.75,0.027762,0.13117,0.017969,2
0.035946,0.1037,0,0,0.70313,6.5625,0.052564,0.12031,0.016618,6
0.04054,0.053547,0,0,5.0781,6.3281,0.054721,0.067727,0.014181,4
0.051314,0.043544,0,0,5.7813,7.9688,0.063773,0.056003,0.012459,1
0.095534,0.051933,0,0,3.75,4.1406,0.11922,0.075615,0.023682,3
0.082069,0.061191,0,0,8.2031,3.2813,0.097043,0.076166,0.014975,5
0.0072554,0.060499,0,4.0625,0,3.5938,0.019936,0.07318,0.01268,2
0.027292,0.073294,0,1.4844,0,7.5781,0.038952,0.084954,0.01166,6
0.041001,0.042225,0,0,4.2188,5.5469,0.0562,0.057424,0.015199,4
0.047201,0.038539,0,0,5.7813,8.4375,0.056174,0.047512,0.0089732,1
0.052052,0.044967,0,0,4.1406,3.2031,0.067509,0.060425,0.015457,3
0.054928,0.053733,0,0,6.875,2.1875,0.067179,0.065983,0.01225,5
0.010169,0.091819,0,4.5313,2.3438,0,0.026779,0.10843,0.016611,2
0.030133,0.082218,0,5.3906,0,10.703,0.041966,0.094052,0.011834,6
0.03656,0.04251,0,0.70313,0,27.656,0.051984,0.057933,0.015423,4
0.058866,0.059644,0,0,7.0313,9.2969,0.072976,0.073754,0.01411,1
0.094224,0.046145,0,0,6.5625,6.875,0.1142,0.066125,0.01998,3
0.070791,0.055679,0,0,8.6719,4.1406,0.084151,0.069039,0.01336,5
0.006884,0.069989,0,4.375,0,4.9219,0.020657,0.083762,0.013773,2
0.050836,0.1409,0,0,2.7344,7.3438,0.070097,0.16016,0.019262,6
0.023254,0.031944,0,0,5.5469,6.3281,0.033259,0.041948,0.010004,4
0.059701,0.049799,0,0,10.625,8.5156,0.070223,0.060321,0.010522,1
0.081214,0.038739,0,0,8.0469,4.2969,0.10055,0.058073,0.019334,3
0.057495,0.052409,0,0,12.422,4.9219,0.068417,0.06333,0.010922,5
0.026621,0.1267,0,18.594,0,5.5469,0.067287,0.16736,0.040666,2
0.052148,0.14398,0,4.2969,0,9.6875,0.073821,0.16565,0.021673,6
0.046773,0.044272,0,0,11.484,14.453,0.065201,0.062699,0.018428,4
0.046377,0.035536,0,0,4.5313,8.2031,0.055747,0.044906,0.0093699,1
0.065513,0.041679,0,0,4.2969,4.5313,0.080192,0.056359,0.01468,3
0.075593,0.061495,0,0,8.5938,3.5938,0.088174,0.074077,0.012581,5
0.012664,0.07381,0,17.266,0,2.7344,0.032482,0.093628,0.019818,2
0.034387,0.098415,0,0,0.85938,4.4531,0.049197,0.11323,0.014811,6
0.055489,0.047929,0,0,15,14.219,0.07556,0.068,0.02007,4
0.06149,0.048312,0,0,10.469,8.2813,0.077517,0.064338,0.016027,1
0.10861,0.051019,0,0,6.7969,4.2188,0.13055,0.072957,0.021937,3
0.087714,0.067179,0,0,7.4219,2.7344,0.10553,0.084991,0.017812,5
